original,translated,fuel,machine,others,part,price,service
Saya memakai Honda Jazz GK5 tahun 2014 ( pertama meluncur ) . Mobil nya bagus dan enak sesuai moto nya menyenangkan untuk dikendarai,kula ngangge honda jazz GK5 warsa 2014 ( pertami ngluncur ) . mobilipun sae lan eca cocog motonipun ngremenaken kangge dikendarai,neutral,neutral,positive,neutral,neutral,neutral
Avanza kenapa jadi boros bensin begini dah ah. Baru diisi sudah mau setengah saja .,avanza kenging punapa dados boros bensin kados puniki empun ah. enggal dipunisi sampun badhe sapalih  mawon .,negative,neutral,neutral,neutral,neutral,neutral
"saran ku dan pengalaman ku , mending beli mobil niaga L300 atau canter . irit dan bandel .","saran kula  lan pengalaman kula  , mending tumbas mobil niaga l300 utawi canter . irit lan bandel .",positive,positive,neutral,neutral,neutral,neutral
Dari segi harga juga pajero lebih mahal 30 jutaan dibanding fortuner,saking segi regi  ugi  pajero langkung awis  30 jutaan dipunbanding fortuner,neutral,neutral,neutral,neutral,positive,neutral
Kalo menurut gw enak pajero si,menawi midherek gw eca  pajero si,neutral,neutral,positive,neutral,neutral,neutral
CH - R versi negara ini kurang worth it soal fitur dan kelengkapan,ch -r versi nagari puniki kirang meyakinkan soal fitur lan kajangkepan,neutral,neutral,neutral,negative,neutral,neutral
"@LinaRadj kapan-kapan coba bengkel daihatsu , mereka mau kok . Servis lebih bagus .","@linaradj kapan-kapan cobi bengkel daihatsu , piyambakipun sedaya badhe koh . servis langkung sae   .",neutral,neutral,neutral,neutral,neutral,positive
Mending confero harga nya lebih murah daripada formo.,mending confero reginipun   langkung mirah daripada formo.,neutral,neutral,neutral,neutral,negative,neutral
kalo soal servis mending pilih grand livina soalnya after sales service nya mudah dan cepat,menawi soal servis mending pilih grand livina soalipun after sales servicenipun gampil lan enggal,neutral,neutral,neutral,neutral,neutral,positive
Lampu utama depan Grand New Veloz juga mendapatkan perubahan desain dan terkesan lebih agresif dan sedikit menonjol,dilah utami ngajeng grand new veloz ugi  angsal ebah desain lan terkesan langkung agresif lan sakedhik nonjol,neutral,neutral,neutral,positive,neutral,neutral
Motor beat aku yang menemani aku di saat ke mana saja dan yang penting bbm - nya ramah lingkungan dan ramah juga di kantong dan tarikan nya mantap banget .,motor beat kula   ingkang ngancani kula   ing wekdal dhateng pundi mawon lan ingkang wigatos bbm ipun ramah lingkungan lan ramah ugi  ing kantong lan tarikanipun   mantep sanget .,positive,positive,neutral,neutral,neutral,neutral
"Xenia tahun 2008 bolak-balik jakarta - bandung , aki tetap aman .","xenia warsa 2008 wongsal-wangsul jakarta -bandung , aki tetep aman .",neutral,neutral,neutral,positive,neutral,neutral
#YamahaID Perawatan Motor Injeksi Yamaha Mudah dan Murah,#yamahaid perawatan motor injeksi yamaha gampil lan mirah,neutral,neutral,neutral,neutral,neutral,positive
Buat dalam kota xpander bagus karna model nya kalem dan kesan nya car city,damel lebeting kitha xpander sae   amargi modelipun   kalem lan kesanipun   car city,neutral,neutral,neutral,positive,neutral,neutral
brio pajak nya murah karena ckd daripada ignis atau sirion yg cbu pajak nya agak mahal trus onderdil nya agak susah atau lama kalo mau klaim asuransi,brio pajakipun   mirah amargi ckd daripada ignis utawi sirion ingkang cbu pajakipun   radi awis  trus onderdilipun   radi sisah utawi lami menawi badhe klaim asuransi,neutral,neutral,neutral,negative,negative,neutral
toyota menang harga nya kalo nantinya mau dijual,toyota menang reginipun   menawi mangkenipun badhe dipunsade,neutral,neutral,neutral,neutral,positive,neutral
